epoch,acc,loss,val_acc,val_loss
0,0.906473790898,0.210800181143,0.613165378571,3.37843078588
1,0.920583841847,0.180504231933,0.26279088429,11.8803081768
2,0.925718307495,0.168822583843,0.732148817607,4.24005646578
3,0.929888421414,0.159453976379,0.774161304746,3.6012053511
4,0.933185021083,0.152095067927,0.223077092852,12.5224349073
5,0.938798955843,0.139915444468,0.34449662481,10.5576344218
6,0.942153365004,0.132407623261,0.275455032076,11.6693994573
7,0.946831474117,0.121872770098,0.247388873781,12.1296273725
8,0.951820803624,0.110676517217,0.2370262146,12.2969992672
9,0.951857272316,0.111048845958,0.23318709646,12.3591385484
10,0.959428717108,0.0934922701551,0.254493815558,12.0140393972
11,0.963187731949,0.0848272432135,0.768570968083,3.6915473938
12,0.963688373566,0.0839718871604,0.32778276716,10.8280636583
13,0.967644813014,0.0746300106585,0.290815217154,11.426553888
14,0.969264306274,0.0711114980216,0.287329741887,11.4830304299
15,0.9675376462,0.0754334760428,0.463652610779,8.53896110824
16,0.97237610817,0.0638494687383,0.392596244812,8.34228757875
17,0.973494188458,0.0612564548284,0.764183044434,3.75419114104
18,0.970038694494,0.0698113191562,0.322598627635,9.50292095968
19,0.97463314206,0.0586253630326,0.253010886056,1.4229290794
20,0.976034781512,0.0553416239061,0.292413439069,4.08321399135
21,0.973183496326,0.0622454160624,0.776495831353,0.710139526853
22,0.977253689485,0.0525972444482,0.777193307877,0.648243469319
23,0.977076048945,0.0532320707936,0.777614661625,0.569294817214
24,0.977471519919,0.052384294533,0.777644259589,0.630788982979
25,0.980882237939,0.0441780454826,0.777644191469,0.622660469264
26,0.981659893896,0.0424251050401,0.777626991272,0.540020616725
27,0.982302717134,0.0409846055988,0.777638605663,0.559693694913
28,0.983053141949,0.0392516210821,0.777450595583,2.79750955531
29,0.983760445726,0.0376614412092,0.777373347964,1.50254009983
30,0.983111264659,0.0394371149938,0.777476787567,3.44052680688
31,0.984489408194,0.0360959725655,0.777496610369,3.4669311004
32,0.985900331946,0.032814074835,0.777548926217,3.38997458347
33,0.986468763912,0.0315146350539,0.777522597994,3.41558848534
34,0.986974356221,0.0303791433176,0.777542454856,3.4368030663
35,0.987486030541,0.0292246757217,0.777384451457,3.48195856384
36,0.98805771622,0.0279332809949,0.777414015361,3.4677539851
37,0.988581652735,0.0267312372898,0.777361052377,3.46357611247
38,0.989079966265,0.025594933819,0.777510574886,3.50161931983
39,0.9895511515,0.0245237873511,0.777359758105,3.45313717212
40,0.989981604557,0.023538056866,0.777376072747,3.46843909792
41,0.990400786493,0.0225938363046,0.777381556375,3.46327203086
42,0.990765889486,0.0217525190925,0.777369533266,3.4586855535
